OfficialNames,CanonicalSmiles,uM
NPC Approved Name=diethanolamine methoxycinnamate,COc1ccc(cc1)/C=C/C(=O)[O-],22.22
"US Illegal/Scheduled Drug (Schedule 4)=Pemoline,FDA Approved Drug=PEMOLINE",c1ccc(cc1)C2C(=O)[NH+]=C(O2)N,1.39
"US Illegal/Scheduled Drug (Schedule 4)=Pemoline,FDA Approved Drug=PEMOLINE",c1ccc(cc1)C2C(=O)[NH+]=C(O2)N,2.78
"US Illegal/Scheduled Drug (Schedule 4)=Pemoline,FDA Approved Drug=PEMOLINE",c1ccc(cc1)C2C(=O)[NH+]=C(O2)N,5.56
"US Illegal/Scheduled Drug (Schedule 4)=Pemoline,FDA Approved Drug=PEMOLINE",c1ccc(cc1)C2C(=O)[NH+]=C(O2)N,11.11
"US Illegal/Scheduled Drug (Schedule 4)=Pemoline,FDA Approved Drug=PEMOLINE",c1ccc(cc1)C2C(=O)[NH+]=C(O2)N,22.22
Traditional Herbal Isolate=canavanine,C(CO[NH+]=C(N)N)[C@@H](C(=O)[O-])[NH3+],1.39
Traditional Herbal Isolate=canavanine,C(CO[NH+]=C(N)N)[C@@H](C(=O)[O-])[NH3+],2.78
Traditional Herbal Isolate=canavanine,C(CO[NH+]=C(N)N)[C@@H](C(=O)[O-])[NH3+],5.56
Traditional Herbal Isolate=canavanine,C(CO[NH+]=C(N)N)[C@@H](C(=O)[O-])[NH3+],11.11
Traditional Herbal Isolate=canavanine,C(CO[NH+]=C(N)N)[C@@H](C(=O)[O-])[NH3+],22.22
Traditional Herbal Isolate=5-hydroxytryptamine;serotonin,c1cc2c(cc1O)c(c[nH]2)CC[NH3+],1.39
Traditional Herbal Isolate=5-hydroxytryptamine;serotonin,c1cc2c(cc1O)c(c[nH]2)CC[NH3+],2.78
Traditional Herbal Isolate=5-hydroxytryptamine;serotonin,c1cc2c(cc1O)c(c[nH]2)CC[NH3+],5.56
Traditional Herbal Isolate=5-hydroxytryptamine;serotonin,c1cc2c(cc1O)c(c[nH]2)CC[NH3+],11.11
Traditional Herbal Isolate=5-hydroxytryptamine;serotonin,c1cc2c(cc1O)c(c[nH]2)CC[NH3+],22.22
US Illegal/Scheduled Drug (Schedule 1)=N-benzylpiperazine;1-benzylpiperazine,c1ccc(cc1)C[NH+]2CCNCC2,1.39
US Illegal/Scheduled Drug (Schedule 1)=N-benzylpiperazine;1-benzylpiperazine,c1ccc(cc1)C[NH+]2CCNCC2,2.78
US Illegal/Scheduled Drug (Schedule 1)=N-benzylpiperazine;1-benzylpiperazine,c1ccc(cc1)C[NH+]2CCNCC2,5.56
US Illegal/Scheduled Drug (Schedule 1)=N-benzylpiperazine;1-benzylpiperazine,c1ccc(cc1)C[NH+]2CCNCC2,11.11
US Illegal/Scheduled Drug (Schedule 1)=N-benzylpiperazine;1-benzylpiperazine,c1ccc(cc1)C[NH+]2CCNCC2,22.22
Indian Approved Name=chlorobutanol,CC(C)(C(Cl)(Cl)Cl)O,1.39
Indian Approved Name=chlorobutanol,CC(C)(C(Cl)(Cl)Cl)O,2.78
Indian Approved Name=chlorobutanol,CC(C)(C(Cl)(Cl)Cl)O,5.56
Indian Approved Name=chlorobutanol,CC(C)(C(Cl)(Cl)Cl)O,11.11
Indian Approved Name=chlorobutanol,CC(C)(C(Cl)(Cl)Cl)O,22.22
"Traditional Herbal Isolate=ebelin lactone,FDA Approved Drug=GLUCONOLACTONE",C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,1.39
"Traditional Herbal Isolate=ebelin lactone,FDA Approved Drug=GLUCONOLACTONE",C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,2.78
"Traditional Herbal Isolate=ebelin lactone,FDA Approved Drug=GLUCONOLACTONE",C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,5.56
"Traditional Herbal Isolate=ebelin lactone,FDA Approved Drug=GLUCONOLACTONE",C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,11.11
"Traditional Herbal Isolate=ebelin lactone,FDA Approved Drug=GLUCONOLACTONE",C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,22.22
Traditional Herbal Isolate=aesculetin;dihydroxycoumarin;esculetin,c1cc(=O)oc2c1cc(c(c2)O)O,1.39
Traditional Herbal Isolate=aesculetin;dihydroxycoumarin;esculetin,c1cc(=O)oc2c1cc(c(c2)O)O,2.78
Traditional Herbal Isolate=aesculetin;dihydroxycoumarin;esculetin,c1cc(=O)oc2c1cc(c(c2)O)O,5.56
Traditional Herbal Isolate=aesculetin;dihydroxycoumarin;esculetin,c1cc(=O)oc2c1cc(c(c2)O)O,11.11
Traditional Herbal Isolate=aesculetin;dihydroxycoumarin;esculetin,c1cc(=O)oc2c1cc(c(c2)O)O,22.22
"Australia Approved Name=HEXAMINE HIPPURATE,FDA Approved Drug=METHENAMINE HIPPURATE",c1ccc(cc1)C(=O)NCC(=O)[O-],1.39
"Australia Approved Name=HEXAMINE HIPPURATE,FDA Approved Drug=METHENAMINE HIPPURATE",c1ccc(cc1)C(=O)NCC(=O)[O-],2.78
"Australia Approved Name=HEXAMINE HIPPURATE,FDA Approved Drug=METHENAMINE HIPPURATE",c1ccc(cc1)C(=O)NCC(=O)[O-],5.56
"Australia Approved Name=HEXAMINE HIPPURATE,FDA Approved Drug=METHENAMINE HIPPURATE",c1ccc(cc1)C(=O)NCC(=O)[O-],11.11
"Australia Approved Name=HEXAMINE HIPPURATE,FDA Approved Drug=METHENAMINE HIPPURATE",c1ccc(cc1)C(=O)NCC(=O)[O-],22.22
"China Approved Name=carbocisteine,Indian Approved Name=carbocisteine",C([C@@H](C(=O)[O-])[NH3+])SCC(=O)[O-],1.39
"China Approved Name=carbocisteine,Indian Approved Name=carbocisteine",C([C@@H](C(=O)[O-])[NH3+])SCC(=O)[O-],2.78
"China Approved Name=carbocisteine,Indian Approved Name=carbocisteine",C([C@@H](C(=O)[O-])[NH3+])SCC(=O)[O-],5.56
"China Approved Name=carbocisteine,Indian Approved Name=carbocisteine",C([C@@H](C(=O)[O-])[NH3+])SCC(=O)[O-],11.11
"China Approved Name=carbocisteine,Indian Approved Name=carbocisteine",C([C@@H](C(=O)[O-])[NH3+])SCC(=O)[O-],22.22
FDA Approved Drug=PHENACEMIDE,c1ccc(cc1)CC(=O)NC(=O)N,1.39
FDA Approved Drug=PHENACEMIDE,c1ccc(cc1)CC(=O)NC(=O)N,2.78
FDA Approved Drug=PHENACEMIDE,c1ccc(cc1)CC(=O)NC(=O)N,5.56
FDA Approved Drug=PHENACEMIDE,c1ccc(cc1)CC(=O)NC(=O)N,11.11
FDA Approved Drug=PHENACEMIDE,c1ccc(cc1)CC(=O)NC(=O)N,22.22
Traditional Herbal Isolate=methyl eugenol,COc1ccc(cc1OC)CC=C,1.39
Traditional Herbal Isolate=methyl eugenol,COc1ccc(cc1OC)CC=C,2.78
Traditional Herbal Isolate=methyl eugenol,COc1ccc(cc1OC)CC=C,5.56
Traditional Herbal Isolate=methyl eugenol,COc1ccc(cc1OC)CC=C,11.11
Traditional Herbal Isolate=methyl eugenol,COc1ccc(cc1OC)CC=C,22.22
Traditional Herbal Isolate=p-methoxybenzylacetone,CC(=O)CCc1ccc(cc1)OC,1.39
Traditional Herbal Isolate=p-methoxybenzylacetone,CC(=O)CCc1ccc(cc1)OC,2.78
Traditional Herbal Isolate=p-methoxybenzylacetone,CC(=O)CCc1ccc(cc1)OC,5.56
Traditional Herbal Isolate=p-methoxybenzylacetone,CC(=O)CCc1ccc(cc1)OC,11.11
Traditional Herbal Isolate=p-methoxybenzylacetone,CC(=O)CCc1ccc(cc1)OC,22.22
Traditional Herbal Isolate=iso-eugenol,C/C=C/c1ccc(c(c1)OC)OC,1.39
Traditional Herbal Isolate=iso-eugenol,C/C=C/c1ccc(c(c1)OC)OC,2.78
Traditional Herbal Isolate=iso-eugenol,C/C=C/c1ccc(c(c1)OC)OC,5.56
Traditional Herbal Isolate=iso-eugenol,C/C=C/c1ccc(c(c1)OC)OC,11.11
Traditional Herbal Isolate=iso-eugenol,C/C=C/c1ccc(c(c1)OC)OC,22.22
Traditional Herbal Isolate=nothosmyrnol,C/C=C/c1ccc(cc1OC)OC,1.39
Traditional Herbal Isolate=nothosmyrnol,C/C=C/c1ccc(cc1OC)OC,2.78
Traditional Herbal Isolate=nothosmyrnol,C/C=C/c1ccc(cc1OC)OC,5.56
Traditional Herbal Isolate=nothosmyrnol,C/C=C/c1ccc(cc1OC)OC,11.11
Traditional Herbal Isolate=nothosmyrnol,C/C=C/c1ccc(cc1OC)OC,22.22
"US Illegal/Scheduled Drug (Schedule 2)=Phenmetrazine,FDA Approved Drug=PHENMETRAZINE HYDROCHLORIDE",CC1C(OCC[NH2+]1)c2ccccc2,1.39
"US Illegal/Scheduled Drug (Schedule 2)=Phenmetrazine,FDA Approved Drug=PHENMETRAZINE HYDROCHLORIDE",CC1C(OCC[NH2+]1)c2ccccc2,2.78
"US Illegal/Scheduled Drug (Schedule 2)=Phenmetrazine,FDA Approved Drug=PHENMETRAZINE HYDROCHLORIDE",CC1C(OCC[NH2+]1)c2ccccc2,5.56
"US Illegal/Scheduled Drug (Schedule 2)=Phenmetrazine,FDA Approved Drug=PHENMETRAZINE HYDROCHLORIDE",CC1C(OCC[NH2+]1)c2ccccc2,11.11
"US Illegal/Scheduled Drug (Schedule 2)=Phenmetrazine,FDA Approved Drug=PHENMETRAZINE HYDROCHLORIDE",CC1C(OCC[NH2+]1)c2ccccc2,22.22
FDA Approved Drug=BETHANIDINE SULFATE,CN/C(=[NH+]\C)/NCc1ccccc1,1.39
FDA Approved Drug=BETHANIDINE SULFATE,CN/C(=[NH+]\C)/NCc1ccccc1,2.78
FDA Approved Drug=BETHANIDINE SULFATE,CN/C(=[NH+]\C)/NCc1ccccc1,5.56
FDA Approved Drug=BETHANIDINE SULFATE,CN/C(=[NH+]\C)/NCc1ccccc1,11.11
FDA Approved Drug=BETHANIDINE SULFATE,CN/C(=[NH+]\C)/NCc1ccccc1,22.22
"China Approved Name=propofol,Indian Approved Name=propofol,WHO Essential Medicine=propofol,Australia Approved Name=PROPOFOL,FDA Approved Drug=PROPOFOL",CC(C)c1cccc(c1O)C(C)C,1.39
"China Approved Name=propofol,Indian Approved Name=propofol,WHO Essential Medicine=propofol,Australia Approved Name=PROPOFOL,FDA Approved Drug=PROPOFOL",CC(C)c1cccc(c1O)C(C)C,2.78
"China Approved Name=propofol,Indian Approved Name=propofol,WHO Essential Medicine=propofol,Australia Approved Name=PROPOFOL,FDA Approved Drug=PROPOFOL",CC(C)c1cccc(c1O)C(C)C,5.56
"China Approved Name=propofol,Indian Approved Name=propofol,WHO Essential Medicine=propofol,Australia Approved Name=PROPOFOL,FDA Approved Drug=PROPOFOL",CC(C)c1cccc(c1O)C(C)C,11.11
"China Approved Name=propofol,Indian Approved Name=propofol,WHO Essential Medicine=propofol,Australia Approved Name=PROPOFOL,FDA Approved Drug=PROPOFOL",CC(C)c1cccc(c1O)C(C)C,22.22
Indian Approved Name=amylmetacresol,CCCCCc1ccc(cc1O)C,1.39
Indian Approved Name=amylmetacresol,CCCCCc1ccc(cc1O)C,2.78
Indian Approved Name=amylmetacresol,CCCCCc1ccc(cc1O)C,5.56
Indian Approved Name=amylmetacresol,CCCCCc1ccc(cc1O)C,11.11
Indian Approved Name=amylmetacresol,CCCCCc1ccc(cc1O)C,22.22
"Australia Approved Name=SILICONE,FDA Approved Drug=SIMETHICONE",CO[Si](C)(C)O[Si](C)(C)C,1.39
"Australia Approved Name=SILICONE,FDA Approved Drug=SIMETHICONE",CO[Si](C)(C)O[Si](C)(C)C,2.78
"Australia Approved Name=SILICONE,FDA Approved Drug=SIMETHICONE",CO[Si](C)(C)O[Si](C)(C)C,5.56
"Australia Approved Name=SILICONE,FDA Approved Drug=SIMETHICONE",CO[Si](C)(C)O[Si](C)(C)C,11.11
"Australia Approved Name=SILICONE,FDA Approved Drug=SIMETHICONE",CO[Si](C)(C)O[Si](C)(C)C,22.22
"Traditional Herbal Isolate=3,4-dihydroxycinnamic acid",c1cc(c(cc1/C=C/C(=O)[O-])O)O,1.39
"Traditional Herbal Isolate=3,4-dihydroxycinnamic acid",c1cc(c(cc1/C=C/C(=O)[O-])O)O,2.78
"Traditional Herbal Isolate=3,4-dihydroxycinnamic acid",c1cc(c(cc1/C=C/C(=O)[O-])O)O,5.56
"Traditional Herbal Isolate=3,4-dihydroxycinnamic acid",c1cc(c(cc1/C=C/C(=O)[O-])O)O,11.11
"Traditional Herbal Isolate=3,4-dihydroxycinnamic acid",c1cc(c(cc1/C=C/C(=O)[O-])O)O,22.22
"China Approved Name=Aspisol;acetylsalicylic acid;aspirin,WHO Essential Medicine=acetylsalicylic acid,Indian Approved Name=aspirin;acetyl salicylic acid,Traditional Herbal Isolate=acetylsalicylic acid,FDA Approved Drug=ASPIRIN",CC(=O)Oc1ccccc1C(=O)[O-],1.39
"China Approved Name=Aspisol;acetylsalicylic acid;aspirin,WHO Essential Medicine=acetylsalicylic acid,Indian Approved Name=aspirin;acetyl salicylic acid,Traditional Herbal Isolate=acetylsalicylic acid,FDA Approved Drug=ASPIRIN",CC(=O)Oc1ccccc1C(=O)[O-],2.78
"China Approved Name=Aspisol;acetylsalicylic acid;aspirin,WHO Essential Medicine=acetylsalicylic acid,Indian Approved Name=aspirin;acetyl salicylic acid,Traditional Herbal Isolate=acetylsalicylic acid,FDA Approved Drug=ASPIRIN",CC(=O)Oc1ccccc1C(=O)[O-],5.56
"China Approved Name=Aspisol;acetylsalicylic acid;aspirin,WHO Essential Medicine=acetylsalicylic acid,Indian Approved Name=aspirin;acetyl salicylic acid,Traditional Herbal Isolate=acetylsalicylic acid,FDA Approved Drug=ASPIRIN",CC(=O)Oc1ccccc1C(=O)[O-],11.11
"China Approved Name=Aspisol;acetylsalicylic acid;aspirin,WHO Essential Medicine=acetylsalicylic acid,Indian Approved Name=aspirin;acetyl salicylic acid,Traditional Herbal Isolate=acetylsalicylic acid,FDA Approved Drug=ASPIRIN",CC(=O)Oc1ccccc1C(=O)[O-],22.22
Traditional Herbal Isolate=mucronatine,Cn1c-2ncnc2c(nc1OC)N,1.39
Traditional Herbal Isolate=mucronatine,Cn1c-2ncnc2c(nc1OC)N,2.78
Traditional Herbal Isolate=mucronatine,Cn1c-2ncnc2c(nc1OC)N,5.56
Traditional Herbal Isolate=mucronatine,Cn1c-2ncnc2c(nc1OC)N,11.11
Traditional Herbal Isolate=mucronatine,Cn1c-2ncnc2c(nc1OC)N,22.22
NPC Approved Name=phenprobamate,c1ccc(cc1)CCCOC(=O)N,1.39
NPC Approved Name=phenprobamate,c1ccc(cc1)CCCOC(=O)N,2.78
NPC Approved Name=phenprobamate,c1ccc(cc1)CCCOC(=O)N,5.56
NPC Approved Name=phenprobamate,c1ccc(cc1)CCCOC(=O)N,11.11
NPC Approved Name=phenprobamate,c1ccc(cc1)CCCOC(=O)N,22.22
NPC Approved Name=fudosteine,C(CO)CSC[C@@H](C(=O)[O-])[NH3+],1.39
NPC Approved Name=fudosteine,C(CO)CSC[C@@H](C(=O)[O-])[NH3+],2.78
NPC Approved Name=fudosteine,C(CO)CSC[C@@H](C(=O)[O-])[NH3+],5.56
NPC Approved Name=fudosteine,C(CO)CSC[C@@H](C(=O)[O-])[NH3+],11.11
NPC Approved Name=fudosteine,C(CO)CSC[C@@H](C(=O)[O-])[NH3+],22.22
NPC Approved Name=cloxiquine,c1cc2c(ccc(c2nc1)O)Cl,1.39
NPC Approved Name=cloxiquine,c1cc2c(ccc(c2nc1)O)Cl,2.78
NPC Approved Name=cloxiquine,c1cc2c(ccc(c2nc1)O)Cl,5.56
NPC Approved Name=cloxiquine,c1cc2c(ccc(c2nc1)O)Cl,11.11
NPC Approved Name=cloxiquine,c1cc2c(ccc(c2nc1)O)Cl,22.22
"Traditional Herbal Isolate=levulose,Indian Approved Name=fructooligosaccharides",C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,1.39
"Traditional Herbal Isolate=levulose,Indian Approved Name=fructooligosaccharides",C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,2.78
"Traditional Herbal Isolate=levulose,Indian Approved Name=fructooligosaccharides",C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,5.56
"Traditional Herbal Isolate=levulose,Indian Approved Name=fructooligosaccharides",C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,11.11
"Traditional Herbal Isolate=levulose,Indian Approved Name=fructooligosaccharides",C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,22.22
Traditional Herbal Isolate=sorbose,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,1.39
Traditional Herbal Isolate=sorbose,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,2.78
Traditional Herbal Isolate=sorbose,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,5.56
Traditional Herbal Isolate=sorbose,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,11.11
Traditional Herbal Isolate=sorbose,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,22.22
"Traditional Herbal Isolate=inositol;mesoinositol,Indian Approved Name=inositol",[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)O)O,1.39
"Traditional Herbal Isolate=inositol;mesoinositol,Indian Approved Name=inositol",[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)O)O,2.78
"Traditional Herbal Isolate=inositol;mesoinositol,Indian Approved Name=inositol",[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)O)O,5.56
"Traditional Herbal Isolate=inositol;mesoinositol,Indian Approved Name=inositol",[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)O)O,11.11
"Traditional Herbal Isolate=inositol;mesoinositol,Indian Approved Name=inositol",[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)O)O,22.22
"China Approved Name=fructose,Traditional Herbal Isolate=fructose;d-fructose,Indian Approved Name=fructose",C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,1.39
"China Approved Name=fructose,Traditional Herbal Isolate=fructose;d-fructose,Indian Approved Name=fructose",C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,2.78
"China Approved Name=fructose,Traditional Herbal Isolate=fructose;d-fructose,Indian Approved Name=fructose",C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,5.56
"China Approved Name=fructose,Traditional Herbal Isolate=fructose;d-fructose,Indian Approved Name=fructose",C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,11.11
"China Approved Name=fructose,Traditional Herbal Isolate=fructose;d-fructose,Indian Approved Name=fructose",C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,22.22
Traditional Herbal Isolate=l-rhamnose,CC1C(C(C(C(O1)(O)O)O)O)O,1.39
Traditional Herbal Isolate=l-rhamnose,CC1C(C(C(C(O1)(O)O)O)O)O,2.78
Traditional Herbal Isolate=l-rhamnose,CC1C(C(C(C(O1)(O)O)O)O)O,5.56
Traditional Herbal Isolate=l-rhamnose,CC1C(C(C(C(O1)(O)O)O)O)O,11.11
Traditional Herbal Isolate=l-rhamnose,CC1C(C(C(C(O1)(O)O)O)O)O,22.22
Traditional Herbal Isolate=d-galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,1.39
Traditional Herbal Isolate=d-galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,2.78
Traditional Herbal Isolate=d-galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,5.56
Traditional Herbal Isolate=d-galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,11.11
Traditional Herbal Isolate=d-galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,22.22
"WHO Essential Medicine=glucose,Traditional Herbal Isolate=glucose;vitexin-22-o-beta-d- glucopyranoside;d-glucose",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,1.39
"WHO Essential Medicine=glucose,Traditional Herbal Isolate=glucose;vitexin-22-o-beta-d- glucopyranoside;d-glucose",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,2.78
"WHO Essential Medicine=glucose,Traditional Herbal Isolate=glucose;vitexin-22-o-beta-d- glucopyranoside;d-glucose",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,5.56
"WHO Essential Medicine=glucose,Traditional Herbal Isolate=glucose;vitexin-22-o-beta-d- glucopyranoside;d-glucose",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,11.11
"WHO Essential Medicine=glucose,Traditional Herbal Isolate=glucose;vitexin-22-o-beta-d- glucopyranoside;d-glucose",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,22.22
FDA Approved Drug=DEXTROSE,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,1.39
FDA Approved Drug=DEXTROSE,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,2.78
FDA Approved Drug=DEXTROSE,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,5.56
FDA Approved Drug=DEXTROSE,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,11.11
FDA Approved Drug=DEXTROSE,C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,22.22
Traditional Herbal Isolate=d-mannose;mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,1.39
Traditional Herbal Isolate=d-mannose;mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,2.78
Traditional Herbal Isolate=d-mannose;mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,5.56
Traditional Herbal Isolate=d-mannose;mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,11.11
Traditional Herbal Isolate=d-mannose;mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,22.22
"China Approved Name=aminophylline;theophylline;Theophyline,Indian Approved Name=theophylline;choline theophyllinate;aminophylline,Australia Approved Name=THEOPHYLLINE,FDA Approved Drug=AMINOPHYLLINE;OXTRIPHYLLINE;THEOPHYLLINE;THEOPHYLLINE SODIUM GLYCINATE",Cn1c2c(c(=O)n(c1=O)C)[nH]cn2,1.39
"China Approved Name=aminophylline;theophylline;Theophyline,Indian Approved Name=theophylline;choline theophyllinate;aminophylline,Australia Approved Name=THEOPHYLLINE,FDA Approved Drug=AMINOPHYLLINE;OXTRIPHYLLINE;THEOPHYLLINE;THEOPHYLLINE SODIUM GLYCINATE",Cn1c2c(c(=O)n(c1=O)C)[nH]cn2,2.78
"China Approved Name=aminophylline;theophylline;Theophyline,Indian Approved Name=theophylline;choline theophyllinate;aminophylline,Australia Approved Name=THEOPHYLLINE,FDA Approved Drug=AMINOPHYLLINE;OXTRIPHYLLINE;THEOPHYLLINE;THEOPHYLLINE SODIUM GLYCINATE",Cn1c2c(c(=O)n(c1=O)C)[nH]cn2,5.56
"China Approved Name=aminophylline;theophylline;Theophyline,Indian Approved Name=theophylline;choline theophyllinate;aminophylline,Australia Approved Name=THEOPHYLLINE,FDA Approved Drug=AMINOPHYLLINE;OXTRIPHYLLINE;THEOPHYLLINE;THEOPHYLLINE SODIUM GLYCINATE",Cn1c2c(c(=O)n(c1=O)C)[nH]cn2,11.11
"China Approved Name=aminophylline;theophylline;Theophyline,Indian Approved Name=theophylline;choline theophyllinate;aminophylline,Australia Approved Name=THEOPHYLLINE,FDA Approved Drug=AMINOPHYLLINE;OXTRIPHYLLINE;THEOPHYLLINE;THEOPHYLLINE SODIUM GLYCINATE",Cn1c2c(c(=O)n(c1=O)C)[nH]cn2,22.22
Traditional Herbal Isolate=theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,1.39
Traditional Herbal Isolate=theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,2.78
Traditional Herbal Isolate=theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,5.56
Traditional Herbal Isolate=theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,11.11
Traditional Herbal Isolate=theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,22.22
"China Approved Name=glucosamine,Indian Approved Name=glucosamine sulph;glucosamine",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)[NH3+])O)O)O,1.39
"China Approved Name=glucosamine,Indian Approved Name=glucosamine sulph;glucosamine",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)[NH3+])O)O)O,2.78
"China Approved Name=glucosamine,Indian Approved Name=glucosamine sulph;glucosamine",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)[NH3+])O)O)O,5.56
"China Approved Name=glucosamine,Indian Approved Name=glucosamine sulph;glucosamine",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)[NH3+])O)O)O,11.11
"China Approved Name=glucosamine,Indian Approved Name=glucosamine sulph;glucosamine",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)[NH3+])O)O)O,22.22
NPC Approved Name=adrenochrome,C[NH+]1CC(C2=CC(=O)C(=O)C=C21)O,1.39
NPC Approved Name=adrenochrome,C[NH+]1CC(C2=CC(=O)C(=O)C=C21)O,2.78
NPC Approved Name=adrenochrome,C[NH+]1CC(C2=CC(=O)C(=O)C=C21)O,5.56
NPC Approved Name=adrenochrome,C[NH+]1CC(C2=CC(=O)C(=O)C=C21)O,11.11
NPC Approved Name=adrenochrome,C[NH+]1CC(C2=CC(=O)C(=O)C=C21)O,22.22
Traditional Herbal Isolate=coniferyl alcohol,COc1cc(ccc1O)/C=C/CO,1.39
Traditional Herbal Isolate=coniferyl alcohol,COc1cc(ccc1O)/C=C/CO,2.78
Traditional Herbal Isolate=coniferyl alcohol,COc1cc(ccc1O)/C=C/CO,5.56
Traditional Herbal Isolate=coniferyl alcohol,COc1cc(ccc1O)/C=C/CO,11.11
Traditional Herbal Isolate=coniferyl alcohol,COc1cc(ccc1O)/C=C/CO,22.22
Indian Approved Name=propyl hydroxy benzoate,CCCOC(=O)c1ccccc1O,1.39
Indian Approved Name=propyl hydroxy benzoate,CCCOC(=O)c1ccccc1O,2.78
Indian Approved Name=propyl hydroxy benzoate,CCCOC(=O)c1ccccc1O,5.56
Indian Approved Name=propyl hydroxy benzoate,CCCOC(=O)c1ccccc1O,11.11
Indian Approved Name=propyl hydroxy benzoate,CCCOC(=O)c1ccccc1O,22.22
Indian Approved Name=propyl paraben;sodium propyl paraben,CCCOC(=O)c1ccc(cc1)O,1.39
Indian Approved Name=propyl paraben;sodium propyl paraben,CCCOC(=O)c1ccc(cc1)O,2.78
Indian Approved Name=propyl paraben;sodium propyl paraben,CCCOC(=O)c1ccc(cc1)O,5.56
Indian Approved Name=propyl paraben;sodium propyl paraben,CCCOC(=O)c1ccc(cc1)O,11.11
Indian Approved Name=propyl paraben;sodium propyl paraben,CCCOC(=O)c1ccc(cc1)O,22.22
"China Approved Name=dimercaptosuccinic acid,WHO Essential Medicine=succimer,FDA Approved Drug=SUCCIMER",C(C(C(=O)[O-])S)(C(=O)[O-])S,1.39
"China Approved Name=dimercaptosuccinic acid,WHO Essential Medicine=succimer,FDA Approved Drug=SUCCIMER",C(C(C(=O)[O-])S)(C(=O)[O-])S,2.78
